Line description,Stops,Frequency,Length (time),Length (km),year
1_u-bahn_West,Schlesisches Tor - Görlitzer Bahnhof (Oranienstr.) - Kottbusser Tor - Prinzenstr. - Hallesches Tor - Möckernbrücke - Gleisdreieck - Kurfürstenstr. - Nollendorfplatz - Wittenbergplatz - Zoologischer Garten - Ernst-Reuter-Platz - Deutsche Oper (Bismarckstr.) - Sophie-Charlotte-Platz - Kaiserdamm - Theodor-Heuss-Platz - Neu-Westend - Olympia-Stadion - Ruhleben,5,32,,1976
2_u-bahn_West,Wittenbergplatz - Augsburger Str. - Spichernstr. (Bundesallee) - Hohenzollernplatz - Fehrbelliner Platz - Heidelberger Platz - Rüdesheimer Platz - Breitenbachplatz - Podbielskiallee - Dahlem-Dorf - Thielplatz - Oskar-Helene-Heim - Onkel Toms Hütte - Krumme Lanke,10,29,,1976
3_u-bahn_West,Wittenbergplatz - Kurfürstendamm (Joachimstaler Str.) - Uhlandstr.,10,3,,1976
4_u-bahn_West,Nollendorfplatz - Viktoria-Luise-Platz - Bayerischer Platz - Rathaus Schöneberg - Innsbrucker Platz (Hauptstr.),5,6,,1976
6_u-bahn_West,Tegel - Borsigwerke - Holzhauser Str. - Seidelstr. (Flughafen Tegel) - Scharnweberstr. (Eichborndamm) - Kurt-Schumacher-Platz - Afrikanische Str. (Friedrich-Ebert-Siedlung) - Rehberge - Seestr. - Leopoldplatz - Bahnhof Wedding - Reinickendorfer Str. - Bahnhof Friedrichstr. (Stadtbahn) - Kochstr. - Hallesches Tor - Mehringdamm - Flughafen - Paradestr. - Tempelhof - Alt-Tempelhof - Kaiserin-Augusta-Str. - Ullsteinstr. - Westpfahlweg - Alt-Mariendorf,5,36,,1976
7_u-bahn_West,Fehrbelliner Platz - Blissestr. - Berliner Str. - Bayerischer Platz - Eisenacher Str. - Kleistpark - Yorckstr. - Möckernbrücke - Mehringdamm - Gneisenaustr. - Südstern - Hermannplatz - Rathaus Neukölln - Karl-Marx-Str. - Neukölln - Grenzallee - Blaschkoallee - Parchimer Allee - Britz-Süd - Johannisthaler Ch. (Gropiusstadt) - Lipschitzallee - Wutzkyallee - Zwickauer Damm - Rudow,5,30,,1976
8_u-bahn_West,Gesundbrunnen - Voltastr. - Moritzplatz - Kottbusser Tor - Kottbusser Damm (Schönleinstr.) - Hermannplatz - Boddinstr. - Leinestr.,10,20,,1976
9_u-bahn_West,Osloer Str. - Nauener Platz - Leopoldplatz - Amrumer Str. (Rudolf-Virchow-Krankenhaus) - Putlitzstr. (Westhafen) - Birkenstr. - Turmstr. - Hansaplatz - Zoologischer Garten - Kurfürstendamm (Joachimstaler Str.) - Spichernstr. (Bundesallee) - Güntzelstr. - Berliner Str. - Bundesplatz - Friedrich-Wilhelm-Platz - Walther-Schreiber-Platz - Schloßstr. - Rathaus Steglitz,3.5,16,,1976
KBS 152_s-bahn_West,Heiligensee - Schulzendorf (b Tegel) - Tegel - Eichbornstrasse - Wittenau (Kremmener Bahn) - Reinickendorf - Schönholz - Wollankstrasse - Gesundbrunnen - Humboldthain - Friedrichstrasse - Anhalter Bahnhof - Yorckstrasse - Papestrasse - Priesterweg - Mariendorf - Marienfelde - Buckower Ch. - Lichtenrade,,,,1976
KBS 153_s-bahn_West,Heiligensee - Schulzendorf (b Tegel) - Tegel - Eichbornstrasse - Wittenau (Kremmener Bahn) - Reinickendorf - Schönholz - Wollankstrasse - Gesundbrunnen - Humboldthain - Friedrichstrasse - Anhalter Bahnhof - Yorckstrasse - Papestrasse - Priesterweg - Südende - Lankwitz - Lichterfelde Ost - Lichterfelde Süd,,,,1976
KBS 156_s-bahn_West,Friedrichstrasse - Lehrter Stadtbahnhof - Bellevue - Tiergarten - Zoologischer Garten - Savignyplatz - Charlottenburg - Westkreuz - Grunewald - Nikolassee - Wannsee,,,,1976
KBS 150_s-bahn_West,Gesundbrunnen - Wedding - Putlitzstr. - Beusselstr. - Jungfernheide - Westend - Witzleben - Westkreuz - Halensee - Hohenzollerndamm - Schmargendorf - Wilmersdorf - Innsbrucker Platz - Schöneberg - Papestr. - Tempelhof - Hermannstr. - Neukölln - Sonnenallee,,,,1976
KBS 154_s-bahn_West,Frohnau - Hermsdorf - Waidmannslust - Wittenau (Nordbahn) - Wilhelmsruh - Schönholz - Wollankstr. - Gesundbrunnen - Humboldthain - Friedrichstr. - Anhalter Bahnhof - Großgörschenstr. - Schöneberg - Friedenau - Feuerbachstr. - Steglitz - Botanischer Garten - Lichterfelde West - Sundgauer Str. - Zehlendorf - Lindenthaler Allee - Schlachtensee - Nikolassee - Wannsee,,,,1976
KBS 155_s-bahn_West,Zehlendorf - Zehlendorf Süd - Düppel,,,,1976
KBS 157_s-bahn_West,Friedrichstr. - Lehrter Stadtbahnhof - Bellevue - Tiergarten - Zoologischer Garten - Savignyplatz - Charlottenburg - Westkreuz - Eichkamp - Heerstr. - Olympiastadion - Pichelsberg - Spandau - Spandau West - Staaken,,,,1976
KBS 158_s-bahn_West,Beusselstr. - Jungfernheide - Siemensstadt-Fürstenbrunn - Spandau - Spandau West,,,,1976
KBS 159_s-bahn_West,Beusselstr. - Jungfernheide - Wernerwerk - Siemensstadt - Gartenfeld,,,,1976
